"mean energy","max energy","min infected","max infected","tick","run"
6.885,10.0,0.0,0.0,1.0,1
6.8629441624365475,10.0,0.0,1.0,2.0,1
6.822335025380713,10.0,0.0,1.0,3.0,1
6.795918367346939,10.0,0.0,1.0,4.0,1
6.755102040816326,10.0,0.0,1.0,5.0,1
6.693877551020405,10.0,0.0,1.0,6.0,1
6.663265306122448,10.0,0.0,1.0,7.0,1
6.6410256410256405,10.0,0.0,1.0,8.0,1
6.572164948453609,10.0,0.0,1.0,9.0,1
6.585492227979276,10.0,0.0,1.0,10.0,1
6.552083333333335,10.0,0.0,1.0,11.0,1
6.5654450261780095,10.0,0.0,2.0,12.0,1
6.554973821989528,10.0,0.0,2.0,13.0,1
6.54450261780105,10.0,0.0,2.0,14.0,1
6.513089005235602,10.0,0.0,2.0,15.0,1
6.518324607329843,10.0,0.0,2.0,16.0,1
6.43915343915344,10.0,0.0,2.0,17.0,1
6.423280423280421,10.0,0.0,2.0,18.0,1
6.414893617021273,10.0,0.0,2.0,19.0,1
6.39572192513369,10.0,0.0,3.0,20.0,1
6.383783783783783,10.0,0.0,3.0,21.0,1
6.340540540540541,10.0,0.0,3.0,22.0,1
6.297297297297296,10.0,0.0,3.0,23.0,1
6.305555555555554,10.0,0.0,4.0,24.0,1
6.234636871508379,10.0,0.0,4.0,25.0,1
6.173184357541904,10.0,0.0,4.0,26.0,1
6.1229050279329655,10.0,0.0,4.0,27.0,1
6.100558659217875,10.0,0.0,4.0,28.0,1
6.09090909090909,10.0,0.0,4.0,29.0,1
6.073863636363637,10.0,0.0,4.0,30.0,1
6.097142857142856,10.0,0.0,4.0,31.0,1
5.988571428571428,10.0,0.0,4.0,32.0,1
6.000000000000001,10.0,0.0,4.0,33.0,1
6.046511627906974,10.0,0.0,4.0,34.0,1
6.023529411764705,10.0,0.0,4.0,35.0,1
5.994082840236683,10.0,0.0,4.0,36.0,1
6.011976047904189,10.0,0.0,5.0,37.0,1
6.084337349397591,10.0,0.0,5.0,38.0,1
6.036363636363637,10.0,0.0,5.0,39.0,1
5.93939393939394,10.0,0.0,5.0,40.0,1
5.840490797546012,10.0,0.0,5.0,41.0,1
5.812500000000002,10.0,0.0,6.0,42.0,1
5.748427672955976,10.0,0.0,6.0,43.0,1
5.685534591194971,10.0,0.0,6.0,44.0,1
5.7594936708860756,10.0,0.0,6.0,45.0,1
5.785714285714285,10.0,0.0,6.0,46.0,1
